Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    237.12     0.00      832     0.00     0.00  std::_Head_base<1ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      831     0.00     0.00  R_z(double)
  0.00    237.12     0.00      830     0.00     0.00  std::_Head_base<0ul, double, false>::_M_head(std::_Head_base<0ul, double, false>&)
  0.00    237.12     0.00      830     0.00     0.00  std::_Head_base<1ul, double, false>::_M_head(std::_Head_base<1ul, double, false>&)
  0.00    237.12     0.00      830     0.00     0.00  std::_Head_base<1ul, double, false>::_Head_base<double&>(double&)
  0.00    237.12     0.00      729     0.00     0.00  std::_Head_base<0ul, Matrix&, false>::_M_head(std::_Head_base<0ul, Matrix&, false>&)
  0.00    237.12     0.00      729     0.00     0.00  std::_Head_base<0ul, Matrix&, false>::_Head_base(Matrix&)
  0.00    237.12     0.00      729     0.00     0.00  std::_Head_base<1ul, Matrix&, false>::_M_head(std::_Head_base<1ul, Matrix&, false>&)
  0.00    237.12     0.00      729     0.00     0.00  std::_Head_base<1ul, Matrix&, false>::_Head_base(Matrix&)
  0.00    237.12     0.00      622     0.00     0.00  R_x(double)
  0.00    237.12     0.00      585     0.00     0.00  std::_Tuple_impl<0ul, Matrix&, Matrix&>::_M_head(std::_Tuple_impl<0ul, Matrix&, Matrix&>&)
  0.00    237.12     0.00      585     0.00     0.00  std::_Tuple_impl<1ul, Matrix&>::_M_head(std::_Tuple_impl<1ul, Matrix&>&)
  0.00    237.12     0.00      585     0.00     0.00  std::tuple<Matrix&, Matrix&>::tuple<true, true>(Matrix&, Matrix&)
  0.00    237.12     0.00      585     0.00     0.00  Matrix& std::__get_helper<0ul, Matrix&, Matrix&>(std::_Tuple_impl<0ul, Matrix&, Matrix&>&)
  0.00    237.12     0.00      585     0.00     0.00  Matrix& std::__get_helper<1ul, Matrix&>(std::_Tuple_impl<1ul, Matrix&>&)
  0.00    237.12     0.00      585     0.00     0.00  std::tuple_element<1ul, std::tuple<Matrix&, Matrix&> >::type&& std::get<1ul, Matrix&, Matrix&>(std::tuple<Matrix&, Matrix&>&&)
  0.00    237.12     0.00      567     0.00     0.00  Matrix::operator/(double)
  0.00    237.12     0.00      454     0.00     0.00  extract_column(Matrix&, int)
  0.00    237.12     0.00      418     0.00     0.00  std::_Head_base<2ul, double&, false>::_M_head(std::_Head_base<2ul, double&, false>&)
  0.00    237.12     0.00      418     0.00     0.00  std::_Head_base<2ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      418     0.00     0.00  std::_Head_base<3ul, double&, false>::_M_head(std::_Head_base<3ul, double&, false>&)
  0.00    237.12     0.00      418     0.00     0.00  std::_Head_base<3ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      418     0.00     0.00  std::_Head_base<4ul, double&, false>::_M_head(std::_Head_base<4ul, double&, false>&)
  0.00    237.12     0.00      418     0.00     0.00  std::_Head_base<4ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      416     0.00     0.00  R_y(double)
  0.00    237.12     0.00      416     0.00     0.00  std::_Head_base<2ul, double, false>::_M_head(std::_Head_base<2ul, double, false>&)
  0.00    237.12     0.00      416     0.00     0.00  std::_Head_base<2ul, double, false>::_Head_base<double&>(double&)
  0.00    237.12     0.00      416     0.00     0.00  std::_Head_base<3ul, double, false>::_M_head(std::_Head_base<3ul, double, false>&)
  0.00    237.12     0.00      416     0.00     0.00  std::_Head_base<3ul, double, false>::_Head_base<double&>(double&)
  0.00    237.12     0.00      416     0.00     0.00  std::_Head_base<4ul, double, false>::_M_head(std::_Head_base<4ul, double, false>&)
  0.00    237.12     0.00      416     0.00     0.00  std::_Head_base<4ul, double, false>::_Head_base<double&>(double&)
  0.00    237.12     0.00      414     0.00     0.00  MeanObliquity(double)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<0ul, double&, double&>::_M_head(std::_Tuple_impl<0ul, double&, double&>&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<0ul, double&, double&>::_M_tail(std::_Tuple_impl<0ul, double&, double&>&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<0ul, double&, double&>::_Tuple_impl(double&, double&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<0ul, double, double>::_M_head(std::_Tuple_impl<0ul, double, double>&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<0ul, double, double>::_Tuple_impl<double&, double&>(std::_Tuple_impl<0ul, double&, double&>&&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<1ul, double&>::_M_head(std::_Tuple_impl<1ul, double&>&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<1ul, double&>::_Tuple_impl(double&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<1ul, double>::_M_head(std::_Tuple_impl<1ul, double>&)
  0.00    237.12     0.00      414     0.00     0.00  std::_Tuple_impl<1ul, double>::_Tuple_impl<double&>(std::_Tuple_impl<1ul, double&>&&)
  0.00    237.12     0.00      414     0.00     0.00  std::tuple<double&, double&>::tuple<true, true>(double&, double&)
  0.00    237.12     0.00      414     0.00     0.00  std::tuple<double, double>::tuple<double&, double&, true>(std::tuple<double&, double&>&&)
  0.00    237.12     0.00      414     0.00     0.00  double& std::__get_helper<0ul, double, double>(std::_Tuple_impl<0ul, double, double>&)
  0.00    237.12     0.00      414     0.00     0.00  double& std::__get_helper<1ul, double>(std::_Tuple_impl<1ul, double>&)
  0.00    237.12     0.00      414     0.00     0.00  std::tuple_element<0ul, std::tuple<double, double> >::type&& std::get<0ul, double, double>(std::tuple<double, double>&&)
  0.00    237.12     0.00      414     0.00     0.00  std::tuple_element<1ul, std::tuple<double, double> >::type&& std::get<1ul, double, double>(std::tuple<double, double>&&)
  0.00    237.12     0.00      414     0.00     0.00  std::tuple<double&, double&> std::tie<double, double>(double&, double&)
  0.00    237.12     0.00      414     0.00     0.00  std::remove_reference<std::_Tuple_impl<1ul, double&>&>::type&& std::move<std::_Tuple_impl<1ul, double&>&>(std::_Tuple_impl<1ul, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<5ul, double&, false>::_M_head(std::_Head_base<5ul, double&, false>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<5ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<6ul, double&, false>::_M_head(std::_Head_base<6ul, double&, false>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<6ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<7ul, double&, false>::_M_head(std::_Head_base<7ul, double&, false>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<7ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<8ul, double&, false>::_M_head(std::_Head_base<8ul, double&, false>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Head_base<8ul, double&, false>::_Head_base(double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<0ul, double&, double&, double&, double&, double&>::_M_head(std::_Tuple_impl<0ul, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<0ul, double&, double&, double&, double&, double&>::_M_tail(std::_Tuple_impl<0ul, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<0ul, double&, double&, double&, double&, double&>::_Tuple_impl(double&, double&, double&, double&, double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<0ul, double&, double&, double&, double&, double&, double&, double&, double&, double&>::_M_head(std::_Tuple_impl<0ul, double&, double&, double&, double&, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<0ul, double&, double&, double&, double&, double&, double&, double&, double&, double&>::_M_tail(std::_Tuple_impl<0ul, double&, double&, double&, double&, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<0ul, double&, double&, double&, double&, double&, double&, double&, double&, double&>::_Tuple_impl(double&, double&, double&, double&, double&, double&, double&, double&, double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<1ul, double&, double&, double&, double&>::_M_head(std::_Tuple_impl<1ul, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<1ul, double&, double&, double&, double&>::_M_tail(std::_Tuple_impl<1ul, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<1ul, double&, double&, double&, double&>::_Tuple_impl(double&, double&, double&, double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<1ul, double&, double&, double&, double&, double&, double&, double&, double&>::_M_tail(std::_Tuple_impl<1ul, double&, double&, double&, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<2ul, double&, double&, double&>::_M_tail(std::_Tuple_impl<2ul, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<2ul, double&, double&, double&>::_Tuple_impl(double&, double&, double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<2ul, double&, double&, double&, double&, double&, double&, double&>::_Tuple_impl(double&, double&, double&, double&, double&, double&, double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<3ul, double&, double&>::_M_head(std::_Tuple_impl<3ul, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<3ul, double&, double&>::_M_tail(std::_Tuple_impl<3ul, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<3ul, double&, double&>::_Tuple_impl(double&, double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<3ul, double&, double&, double&, double&, double&, double&>::_M_head(std::_Tuple_impl<3ul, double&, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<3ul, double&, double&, double&, double&, double&, double&>::_M_tail(std::_Tuple_impl<3ul, double&, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<3ul, double&, double&, double&, double&, double&, double&>::_Tuple_impl(double&, double&, double&, double&, double&, double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<4ul, double&>::_M_head(std::_Tuple_impl<4ul, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<4ul, double&>::_Tuple_impl(double&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<4ul, double&, double&, double&, double&, double&>::_M_head(std::_Tuple_impl<4ul, double&, double&, double&, double&, double&>&)
  0.00    237.12     0.00      209     0.00     0.00  std::_Tuple_impl<4ul, double&, double&, double&, double&, double&>::_Tuple_impl(double&, double&, double&, double&, double&)
